order_id,user_id,order_date,food_id,food_price,drink_id,drink_price,food_quantity,drink_quantity,total_purchase_amount,age,gender
58,4,2024-05-30 17:39:07,8,26000,2,5500,7,1,187500,2002,female
59,4,2024-06-29 18:53:07,8,26000,2,5500,10,10,315000,2002,female
60,5,2024-01-09 15:24:09,6,25000,12,10500,7,8,259000,1990,female
61,5,2024-01-11 04:49:09,1,23000,2,5500,9,10,262000,1990,female
62,5,2024-02-05 06:33:09,6,25000,11,10000,9,7,295000,1990,female
63,5,2024-02-25 17:04:09,7,24000,3,6000,11,10,324000,1990,female
64,5,2024-03-16 03:20:09,3,20000,10,9500,7,9,225500,1990,female
65,5,2024-04-02 11:47:09,1,23000,1,5000,6,3,153000,1990,female
66,5,2024-04-13 12:28:09,13,31000,1,5000,2,14,132000,1990,female
67,5,2024-04-25 21:00:09,4,23000,2,5500,6,12,204000,1990,female
68,5,2024-04-30 09:15:09,3,20000,2,5500,9,8,224000,1990,female
69,5,2024-05-08 18:18:09,14,32000,9,9000,4,11,227000,1990,female
70,5,2024-06-05 08:33:09,8,26000,7,8000,5,7,186000,1990,female
71,5,2024-06-12 11:13:09,3,20000,11,10000,8,12,280000,1990,female
72,5,2024-06-16 23:33:09,8,26000,12,10500,7,5,234500,1990,female
73,5,2024-07-06 00:15:09,12,30000,5,7000,11,10,400000,1990,female
74,6,2023-04-17 08:07:47,6,25000,14,11500,10,10,365000,2000,male
75,6,2023-05-09 12:09:47,8,26000,11,10000,9,8,314000,2000,male
76,6,2023-05-27 21:48:47,12,30000,6,7500,7,3,232500,2000,male
77,6,2023-06-22 07:22:47,12,30000,8,8500,5,12,252000,2000,male
78,6,2023-07-20 21:09:47,1,23000,4,6500,11,10,318000,2000,male
79,6,2023-08-06 16:20:47,4,23000,9,9000,9,3,234000,2000,male
80,6,2023-08-31 12:57:47,14,32000,11,10000,8,10,356000,2000,male
81,6,2023-09-28 14:18:47,13,31000,14,11500,8,14,409000,2000,male
82,6,2023-10-02 23:13:47,6,25000,10,9500,8,14,333000,2000,male
83,6,2023-10-21 21:02:47,7,24000,13,11000,4,6,162000,2000,male
84,6,2023-11-07 10:14:47,10,28000,5,7000,11,6,350000,2000,male
85,6,2023-11-28 22:29:47,2,21000,1,5000,9,11,244000,2000,male
86,6,2023-12-18 08:24:47,11,29000,14,11500,1,12,167000,2000,male
87,6,2024-01-10 00:18:47,14,32000,14,11500,8,6,325000,2000,male
88,6,2024-01-30 07:49:47,12,30000,7,8000,3,9,162000,2000,male
89,6,2024-02-22 09:11:47,5,22000,1,5000,8,4,196000,2000,male
90,6,2024-03-01 06:32:47,3,20000,4,6500,9,6,219000,2000,male
91,6,2024-03-18 05:12:47,4,23000,10,9500,3,7,135500,2000,male
92,6,2024-04-08 01:44:47,3,20000,7,8000,6,9,192000,2000,male
93,6,2024-04-28 22:13:47,12,30000,6,7500,9,1,277500,2000,male
94,6,2024-05-29 18:33:47,6,25000,2,5500,9,10,280000,2000,male
95,6,2024-06-15 14:55:47,1,23000,11,10000,4,7,162000,2000,male
96,7,2022-07-30 23:19:12,4,23000,3,6000,9,7,249000,1997,male
97,7,2022-08-20 18:13:12,12,30000,13,11000,6,4,224000,1997,male
98,7,2022-09-16 15:46:12,12,30000,14,11500,10,7,380500,1997,male
99,7,2022-10-02 12:13:12,8,26000,12,10500,5,5,182500,1997,male
100,7,2022-10-27 18:11:12,12,30000,2,5500,5,4,172000,1997,male
101,7,2022-10-30 00:55:12,2,21000,14,11500,3,2,86000,1997,male
102,7,2022-11-07 12:18:12,10,28000,2,5500,7,12,262000,1997,male
103,7,2022-11-13 12:03:12,8,26000,14,11500,4,4,150000,1997,male
104,7,2022-12-04 15:15:12,11,29000,2,5500,11,8,363000,1997,male
105,7,2023-01-04 03:43:12,9,27000,2,5500,6,7,200500,1997,male
106,7,2023-01-08 20:13:12,9,27000,7,8000,8,7,272000,1997,male
107,7,2023-01-21 20:33:12,14,32000,11,10000,2,7,134000,1997,male
108,7,2023-02-15 20:08:12,6,25000,12,10500,9,14,372000,1997,male
109,7,2023-03-06 21:39:12,3,20000,12,10500,11,5,272500,1997,male
110,7,2023-03-15 22:40:12,14,32000,13,11000,6,7,269000,1997,male
111,7,2023-03-24 17:51:12,1,23000,5,7000,3,5,104000,1997,male
112,7,2023-04-03 05:53:12,3,20000,4,6500,8,6,199000,1997,male
113,7,2023-04-24 09:22:12,10,28000,12,10500,13,7,437500,1997,male
114,7,2023-04-28 09:02:12,13,31000,9,9000,9,6,333000,1997,male
115,7,2023-05-06 05:03:12,1,23000,12,10500,11,8,337000,1997,male
116,7,2023-06-05 20:17:12,11,29000,9,9000,4,12,224000,1997,male
117,7,2023-06-13 07:16:12,7,24000,7,8000,6,3,168000,1997,male
118,7,2023-07-08 07:47:12,11,29000,3,6000,8,9,286000,1997,male
119,7,2023-08-02 17:10:12,8,26000,10,9500,7,6,239000,1997,male
120,7,2023-08-08 12:22:12,4,23000,5,7000,5,5,150000,1997,male
121,7,2023-08-31 17:06:12,12,30000,9,9000,8,7,303000,1997,male
122,7,2023-10-01 09:08:12,12,30000,5,7000,8,11,317000,1997,male
123,7,2023-10-05 19:49:12,14,32000,3,6000,7,4,248000,1997,male
124,7,2023-10-18 11:15:12,6,25000,10,9500,9,7,291500,1997,male
125,7,2023-11-04 08:53:12,5,22000,4,6500,8,12,254000,1997,male
126,7,2023-12-01 19:04:12,4,23000,10,9500,14,5,369500,1997,male
127,7,2023-12-13 14:31:12,5,22000,2,5500,5,1,115500,1997,male
128,7,2023-12-25 00:01:12,9,27000,4,6500,7,8,241000,1997,male
129,7,2024-01-05 19:10:12,13,31000,14,11500,1,6,100000,1997,male
130,7,2024-01-09 23:08:12,13,31000,1,5000,4,8,164000,1997,male
131,7,2024-01-15 03:03:12,6,25000,3,6000,5,10,185000,1997,male
132,7,2024-02-10 12:23:12,11,29000,5,7000,13,14,475000,1997,male
133,7,2024-02-21 02:53:12,10,28000,5,7000,6,5,203000,1997,male
134,7,2024-03-14 22:50:12,13,31000,12,10500,8,12,374000,1997,male
135,7,2024-04-05 19:56:12,13,31000,6,7500,4,12,214000,1997,male
136,7,2024-04-08 18:52:12,4,23000,3,6000,2,2,58000,1997,male
137,7,2024-04-11 19:48:12,3,20000,11,10000,9,7,250000,1997,male
138,7,2024-05-07 22:18:12,6,25000,10,9500,7,10,270000,1997,male
139,7,2024-05-18 17:45:12,1,23000,2,5500,7,3,177500,1997,male
140,7,2024-06-14 09:35:12,8,26000,10,9500,8,8,284000,1997,male
141,7,2024-06-21 21:58:12,11,29000,5,7000,11,7,368000,1997,male
142,7,2024-07-07 23:58:12,3,20000,3,6000,8,6,196000,1997,male
143,8,2023-11-14 20:20:28,11,29000,2,5500,9,5,288500,1992,male
144,8,2023-12-07 09:32:28,6,25000,9,9000,2,5,95000,1992,male
145,8,2023-12-15 18:45:28,11,29000,9,9000,6,1,183000,1992,male
146,8,2023-12-28 02:15:28,6,25000,3,6000,7,7,217000,1992,male
147,8,2024-01-09 20:50:28,4,23000,13,11000,1,6,89000,1992,male
148,8,2024-01-22 09:33:28,14,32000,10,9500,6,10,287000,1992,male
149,8,2024-01-30 02:30:28,10,28000,6,7500,1,3,50500,1992,male
150,8,2024-02-15 05:49:28,7,24000,12,10500,7,4,210000,1992,male
151,8,2024-02-28 12:18:28,7,24000,6,7500,6,10,219000,1992,male
152,8,2024-03-13 16:40:28,14,32000,2,5500,4,9,177500,1992,male
153,8,2024-03-16 22:32:28,10,28000,5,7000,11,3,329000,1992,male
154,8,2024-03-20 10:30:28,10,28000,13,11000,11,3,341000,1992,male
155,8,2024-04-18 07:48:28,6,25000,5,7000,9,12,309000,1992,male
156,8,2024-05-10 01:20:28,2,21000,5,7000,9,8,245000,1992,male
157,8,2024-06-01 12:56:28,7,24000,5,7000,7,3,189000,1992,male
158,8,2024-06-13 12:05:28,12,30000,4,6500,8,2,253000,1992,male
159,8,2024-06-16 22:50:28,4,23000,10,9500,5,4,153000,1992,male
160,8,2024-06-29 22:01:28,14,32000,1,5000,1,9,77000,1992,male
161,9,2023-01-23 06:21:39,14,32000,8,8500,12,13,494500,1992,male
162,9,2023-01-27 03:48:39,13,31000,14,11500,11,9,444500,1992,male
163,9,2023-02-24 09:15:39,3,20000,13,11000,10,7,277000,1992,male
164,9,2023-03-24 09:10:39,10,28000,9,9000,8,9,305000,1992,male
165,9,2023-04-02 20:09:39,9,27000,3,6000,7,1,195000,1992,male
166,9,2023-04-25 19:51:39,10,28000,5,7000,8,2,238000,1992,male
167,9,2023-05-19 15:27:39,9,27000,4,6500,7,9,247500,1992,male
168,9,2023-05-27 10:23:39,5,22000,8,8500,5,4,144000,1992,male
169,9,2023-06-09 19:30:39,9,27000,10,9500,4,4,146000,1992,male
170,9,2023-06-29 08:38:39,5,22000,1,5000,5,14,180000,1992,male
171,9,2023-07-12 03:11:39,6,25000,7,8000,6,1,158000,1992,male
172,9,2023-07-22 15:14:39,2,21000,8,8500,8,5,210500,1992,male
173,9,2023-08-14 09:24:39,8,26000,8,8500,4,7,163500,1992,male
174,9,2023-08-22 11:49:39,7,24000,5,7000,8,9,255000,1992,male
175,9,2023-08-26 19:34:39,8,26000,2,5500,11,9,335500,1992,male
176,9,2023-09-02 22:05:39,10,28000,6,7500,9,9,319500,1992,male
177,9,2023-09-10 04:24:39,5,22000,10,9500,9,5,245500,1992,male
178,9,2023-09-18 23:46:39,12,30000,11,10000,10,9,390000,1992,male
179,9,2023-10-04 11:01:39,11,29000,11,10000,11,5,369000,1992,male
180,9,2023-10-17 23:32:39,5,22000,8,8500,5,8,178000,1992,male
181,9,2023-10-29 17:18:39,7,24000,9,9000,7,10,258000,1992,male
182,9,2023-11-15 20:55:39,10,28000,2,5500,14,6,425000,1992,male
183,9,2023-12-10 01:09:39,11,29000,3,6000,8,5,262000,1992,male
184,9,2024-01-09 09:25:39,6,25000,10,9500,4,9,185500,1992,male
185,9,2024-01-30 08:14:39,14,32000,11,10000,9,3,318000,1992,male
186,9,2024-02-21 01:24:39,7,24000,11,10000,10,8,320000,1992,male
187,9,2024-03-17 22:14:39,5,22000,4,6500,9,4,224000,1992,male
188,9,2024-04-08 11:19:39,12,30000,9,9000,12,5,405000,1992,male
189,9,2024-05-09 04:11:39,3,20000,9,9000,9,12,288000,1992,male
190,9,2024-05-14 09:08:39,2,21000,5,7000,9,10,259000,1992,male
191,9,2024-06-10 00:56:39,9,27000,14,11500,5,5,192500,1992,male
192,9,2024-07-05 02:21:39,6,25000,14,11500,7,8,267000,1992,male
193,10,2022-11-01 06:42:41,9,27000,14,11500,1,12,165000,1997,male
194,10,2022-11-26 10:11:41,9,27000,3,6000,7,12,261000,1997,male
195,10,2022-12-25 17:53:41,8,26000,2,5500,8,9,257500,1997,male
196,10,2023-01-04 00:19:41,3,20000,2,5500,6,11,180500,1997,male
197,10,2023-02-03 19:45:41,12,30000,11,10000,7,8,290000,1997,male
198,10,2023-02-25 00:33:41,10,28000,4,6500,3,10,149000,1997,male
199,10,2023-03-19 21:19:41,8,26000,3,6000,7,9,236000,1997,male
200,10,2023-04-08 08:38:41,4,23000,14,11500,10,9,333500,1997,male
201,10,2023-04-20 17:48:41,11,29000,1,5000,9,13,326000,1997,male
202,10,2023-05-13 23:38:41,1,23000,8,8500,10,12,332000,1997,male
203,10,2023-06-02 12:23:41,6,25000,13,11000,7,13,318000,1997,male
204,10,2023-06-10 05:14:41,6,25000,7,8000,6,7,206000,1997,male
205,10,2023-06-25 12:43:41,11,29000,6,7500,5,7,197500,1997,male
206,10,2023-07-11 05:48:41,5,22000,2,5500,9,8,242000,1997,male
207,10,2023-07-25 14:31:41,7,24000,14,11500,4,7,176500,1997,male
208,10,2023-08-08 14:13:41,14,32000,5,7000,7,10,294000,1997,male
209,10,2023-08-23 22:28:41,5,22000,1,5000,7,10,204000,1997,male
210,10,2023-09-04 06:31:41,10,28000,5,7000,11,5,343000,1997,male
211,10,2023-09-08 15:01:41,5,22000,9,9000,8,6,230000,1997,male
212,10,2023-09-27 14:42:41,7,24000,14,11500,6,7,224500,1997,male
213,10,2023-10-24 21:35:41,8,26000,3,6000,8,8,256000,1997,male
214,10,2023-11-06 06:24:41,11,29000,5,7000,13,4,405000,1997,male
215,10,2023-11-24 11:05:41,1,23000,13,11000,5,6,181000,1997,male
216,10,2023-12-12 05:17:41,2,21000,10,9500,7,8,223000,1997,male
217,10,2023-12-26 08:41:41,2,21000,2,5500,4,9,133500,1997,male
218,10,2024-01-19 03:31:41,12,30000,6,7500,6,9,247500,1997,male
219,10,2024-02-06 21:59:41,14,32000,7,8000,10,8,384000,1997,male
220,10,2024-02-23 08:56:41,11,29000,9,9000,9,12,369000,1997,male
221,10,2024-03-22 01:26:41,8,26000,13,11000,4,14,258000,1997,male
222,10,2024-04-19 00:51:41,13,31000,6,7500,10,12,400000,1997,male
223,10,2024-05-12 03:44:41,1,23000,7,8000,7,8,225000,1997,male
224,10,2024-06-08 15:08:41,11,29000,13,11000,10,8,378000,1997,male
225,10,2024-06-18 19:16:41,10,28000,10,9500,6,6,225000,1997,male
226,10,2024-06-21 10:31:41,1,23000,7,8000,7,6,209000,1997,male
227,10,2024-07-10 05:01:41,1,23000,13,11000,3,8,157000,1997,male
228,11,2023-02-18 10:07:00,2,21000,1,5000,6,6,156000,1997,male
229,11,2023-02-22 05:34:00,9,27000,6,7500,5,3,157500,1997,male
230,11,2023-03-21 14:51:00,7,24000,6,7500,10,6,285000,1997,male
231,11,2023-03-31 12:36:00,4,23000,2,5500,3,7,107500,1997,male
232,11,2023-04-28 16:39:00,14,32000,5,7000,1,9,95000,1997,male
233,11,2023-05-03 21:51:00,9,27000,3,6000,4,7,150000,1997,male
234,11,2023-05-28 09:42:00,5,22000,6,7500,3,13,163500,1997,male
235,11,2023-06-24 16:58:00,10,28000,12,10500,7,1,206500,1997,male
236,11,2023-07-19 08:23:00,8,26000,7,8000,9,3,258000,1997,male
237,11,2023-07-31 17:32:00,9,27000,12,10500,6,1,172500,1997,male
238,11,2023-08-24 02:56:00,8,26000,9,9000,2,9,133000,1997,male
239,11,2023-09-22 07:14:00,3,20000,4,6500,6,2,133000,1997,male
240,11,2023-10-05 21:40:00,7,24000,13,11000,7,5,223000,1997,male
241,11,2023-11-05 04:17:00,12,30000,6,7500,8,4,270000,1997,male
242,11,2023-11-18 05:46:00,10,28000,4,6500,6,6,207000,1997,male
243,11,2023-12-10 23:14:00,2,21000,1,5000,2,11,97000,1997,male
244,11,2023-12-27 12:54:00,7,24000,7,8000,9,9,288000,1997,male
245,11,2024-01-21 10:52:00,2,21000,9,9000,11,4,267000,1997,male
246,11,2024-02-17 03:35:00,2,21000,10,9500,10,8,286000,1997,male
247,11,2024-03-06 13:23:00,4,23000,8,8500,5,6,166000,1997,male
248,11,2024-04-05 02:50:00,9,27000,14,11500,3,3,115500,1997,male
249,11,2024-04-14 01:13:00,14,32000,9,9000,7,12,332000,1997,male
250,11,2024-05-13 21:22:00,10,28000,2,5500,7,12,262000,1997,male
251,11,2024-06-08 16:28:00,4,23000,8,8500,8,4,218000,1997,male
252,11,2024-07-01 12:32:00,9,27000,10,9500,6,11,266500,1997,male
253,12,2024-03-05 14:05:50,14,32000,11,10000,9,5,338000,1994,female
254,12,2024-03-28 22:05:50,14,32000,8,8500,4,11,221500,1994,female
255,12,2024-04-08 21:14:50,2,21000,2,5500,8,7,206500,1994,female
256,12,2024-04-29 23:37:50,7,24000,13,11000,11,7,341000,1994,female
257,12,2024-05-25 13:31:50,11,29000,11,10000,10,9,380000,1994,female
258,12,2024-06-24 22:13:50,8,26000,13,11000,5,10,240000,1994,female
259,13,2023-03-07 23:42:00,2,21000,4,6500,10,7,255500,2002,male
260,13,2023-04-05 01:47:00,6,25000,11,10000,8,6,260000,2002,male
261,13,2023-04-28 13:25:00,10,28000,11,10000,6,6,228000,2002,male
262,13,2023-05-07 16:18:00,7,24000,13,11000,2,5,103000,2002,male
263,13,2023-05-19 22:37:00,4,23000,2,5500,3,6,102000,2002,male
264,13,2023-05-22 00:34:00,2,21000,8,8500,9,6,240000,2002,male
265,13,2023-05-29 05:48:00,7,24000,6,7500,9,5,253500,2002,male
266,13,2023-06-04 14:22:00,3,20000,14,11500,8,10,275000,2002,male
267,13,2023-06-25 18:29:00,7,24000,2,5500,9,13,287500,2002,male
268,13,2023-07-07 04:01:00,12,30000,3,6000,9,5,300000,2002,male
269,13,2023-08-07 01:52:00,4,23000,1,5000,8,10,234000,2002,male
270,13,2023-08-15 02:50:00,3,20000,6,7500,9,7,232500,2002,male
271,13,2023-09-07 15:31:00,8,26000,7,8000,3,4,110000,2002,male
272,13,2023-10-07 07:45:00,10,28000,8,8500,5,8,208000,2002,male
273,13,2023-11-03 22:40:00,12,30000,5,7000,2,5,95000,2002,male
274,13,2023-11-05 17:17:00,3,20000,6,7500,10,8,260000,2002,male
275,13,2023-12-05 13:12:00,14,32000,2,5500,8,4,278000,2002,male
276,13,2023-12-31 15:40:00,12,30000,3,6000,2,6,96000,2002,male
277,13,2024-01-04 15:39:00,8,26000,12,10500,4,12,230000,2002,male
278,13,2024-01-26 11:34:00,13,31000,9,9000,3,1,102000,2002,male
279,13,2024-02-13 01:31:00,13,31000,6,7500,8,3,270500,2002,male
280,13,2024-03-07 05:38:00,6,25000,13,11000,8,6,266000,2002,male
281,13,2024-04-06 12:53:00,14,32000,1,5000,10,9,365000,2002,male
282,13,2024-05-01 00:05:00,6,25000,4,6500,6,8,202000,2002,male
283,13,2024-05-08 08:46:00,4,23000,11,10000,7,10,261000,2002,male
284,13,2024-06-01 12:53:00,11,29000,11,10000,1,7,99000,2002,male
285,13,2024-06-17 18:40:00,5,22000,7,8000,8,7,232000,2002,male
286,13,2024-06-19 06:13:00,6,25000,6,7500,5,8,185000,2002,male
287,13,2024-06-23 11:39:00,6,25000,2,5500,6,8,194000,2002,male
288,14,2023-06-07 14:16:34,11,29000,13,11000,4,5,171000,1994,female
289,14,2023-07-02 22:38:34,4,23000,14,11500,8,10,299000,1994,female
290,14,2023-07-20 14:32:34,9,27000,8,8500,5,5,177500,1994,female
291,14,2023-07-26 23:16:34,12,30000,1,5000,14,8,460000,1994,female
292,14,2023-08-07 04:54:34,8,26000,9,9000,1,6,80000,1994,female
293,14,2023-08-18 23:12:34,8,26000,14,11500,2,10,167000,1994,female
294,14,2023-09-09 15:06:34,14,32000,10,9500,8,4,294000,1994,female
295,14,2023-09-30 12:43:34,3,20000,1,5000,9,4,200000,1994,female
296,14,2023-10-19 22:35:34,2,21000,4,6500,9,6,228000,1994,female
297,14,2023-10-28 03:53:34,8,26000,13,11000,8,9,307000,1994,female
298,14,2023-11-07 08:59:34,4,23000,13,11000,9,7,284000,1994,female
299,14,2023-11-24 18:09:34,11,29000,6,7500,8,6,277000,1994,female
300,14,2023-11-26 20:39:34,3,20000,9,9000,10,4,236000,1994,female
301,14,2023-12-06 14:30:34,1,23000,10,9500,7,5,208500,1994,female
302,14,2023-12-19 02:52:34,7,24000,14,11500,6,12,282000,1994,female
303,14,2024-01-19 02:49:34,10,28000,8,8500,10,10,365000,1994,female
304,14,2024-02-14 22:16:34,8,26000,4,6500,2,4,78000,1994,female
305,14,2024-02-18 09:56:34,6,25000,14,11500,3,13,224500,1994,female
306,14,2024-03-17 04:21:34,11,29000,2,5500,10,4,312000,1994,female
307,14,2024-03-18 12:25:34,12,30000,11,10000,7,6,270000,1994,female
308,14,2024-04-10 05:53:34,11,29000,3,6000,7,11,269000,1994,female
309,14,2024-05-06 22:24:34,6,25000,5,7000,14,5,385000,1994,female
310,14,2024-05-30 08:11:34,4,23000,9,9000,11,7,316000,1994,female
311,14,2024-06-28 02:31:34,9,27000,12,10500,6,9,256500,1994,female
312,15,2024-01-31 08:17:19,11,29000,8,8500,9,11,354500,1990,male
313,15,2024-02-18 18:53:19,12,30000,8,8500,2,4,94000,1990,male
314,15,2024-03-08 02:18:19,14,32000,5,7000,11,13,443000,1990,male
315,15,2024-04-01 22:57:19,3,20000,4,6500,4,3,99500,1990,male
316,15,2024-05-02 17:57:19,6,25000,7,8000,8,12,296000,1990,male
317,15,2024-05-18 23:52:19,3,20000,5,7000,10,7,249000,1990,male
318,15,2024-06-17 07:45:19,7,24000,4,6500,3,5,104500,1990,male
319,15,2024-07-06 16:53:19,9,27000,8,8500,11,10,382000,1990,male
320,16,2023-01-23 19:24:01,2,21000,6,7500,13,6,318000,1995,male
321,16,2023-02-21 19:03:01,7,24000,13,11000,8,4,236000,1995,male
322,16,2023-02-28 11:15:01,10,28000,5,7000,6,10,238000,1995,male
323,16,2023-03-16 20:51:01,12,30000,13,11000,4,12,252000,1995,male
324,16,2023-03-23 16:09:01,5,22000,7,8000,5,10,190000,1995,male
325,16,2023-04-19 02:37:01,11,29000,1,5000,3,12,147000,1995,male
326,16,2023-05-16 10:08:01,10,28000,14,11500,5,9,243500,1995,male
327,16,2023-05-30 12:39:01,6,25000,7,8000,13,7,381000,1995,male
328,16,2023-06-03 18:06:01,4,23000,9,9000,7,9,242000,1995,male
329,16,2023-06-15 15:32:01,3,20000,14,11500,4,6,149000,1995,male
330,16,2023-07-03 22:13:01,11,29000,1,5000,9,7,296000,1995,male
331,16,2023-07-15 12:00:01,3,20000,11,10000,3,11,170000,1995,male
332,16,2023-07-31 09:13:01,8,26000,12,10500,3,6,141000,1995,male
333,16,2023-08-19 17:01:01,14,32000,4,6500,6,9,250500,1995,male
334,16,2023-09-11 04:06:01,9,27000,1,5000,5,9,180000,1995,male
335,16,2023-09-29 07:36:01,8,26000,14,11500,6,10,271000,1995,male
336,16,2023-10-26 23:31:01,4,23000,12,10500,7,6,224000,1995,male
337,16,2023-11-20 19:34:01,2,21000,4,6500,3,11,134500,1995,male
338,16,2023-12-12 17:25:01,10,28000,6,7500,5,8,200000,1995,male
339,16,2023-12-20 10:27:01,12,30000,11,10000,10,9,390000,1995,male
340,16,2023-12-27 20:04:01,13,31000,11,10000,5,4,195000,1995,male
341,16,2024-01-06 09:55:01,1,23000,7,8000,3,7,125000,1995,male
342,16,2024-01-26 02:48:01,7,24000,1,5000,4,11,151000,1995,male
343,16,2024-02-22 11:23:01,8,26000,4,6500,9,8,286000,1995,male
344,16,2024-03-12 21:12:01,5,22000,3,6000,5,13,188000,1995,male
345,16,2024-03-22 16:11:01,9,27000,10,9500,9,7,309500,1995,male
346,16,2024-04-05 09:40:01,14,32000,10,9500,7,3,252500,1995,male
347,16,2024-04-08 15:11:01,2,21000,9,9000,2,10,132000,1995,male
348,16,2024-04-20 09:39:01,11,29000,5,7000,7,9,266000,1995,male
349,16,2024-04-25 08:40:01,1,23000,9,9000,3,9,150000,1995,male
350,16,2024-04-26 18:04:01,12,30000,11,10000,1,6,90000,1995,male
351,16,2024-05-03 01:57:01,2,21000,5,7000,14,7,343000,1995,male
352,16,2024-05-21 13:52:01,12,30000,4,6500,8,8,292000,1995,male
353,16,2024-05-26 14:25:01,13,31000,2,5500,4,7,162500,1995,male
354,16,2024-06-25 14:44:01,1,23000,4,6500,13,10,364000,1995,male
355,16,2024-07-04 03:17:01,7,24000,14,11500,9,7,296500,1995,male
356,17,2023-10-11 13:57:45,1,23000,1,5000,3,13,134000,1997,male
